sequence,offset,conf,x1,y1,x2,y2,W,H,path
20170722_FIRE_hp-e-mobo-c,120,0.6309,1214.7,614.8,1254.9,641.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_hp-e-mobo-c/1500761367_+00120.jpg
20170722_FIRE_hp-e-mobo-c,180,0.6874,1216.7,606.1,1261.1,640.2,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_hp-e-mobo-c/1500761427_+00180.jpg
20170722_FIRE_hp-e-mobo-c,240,0.4928,1222.1,609.5,1253.6,640.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_hp-e-mobo-c/1500761487_+00240.jpg
20170722_FIRE_hp-e-mobo-c,360,0.6401,1200.9,581.9,1267.0,642.2,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_hp-e-mobo-c/1500761607_+00360.jpg
20170722_FIRE_hp-e-mobo-c,480,0.4024,1181.8,615.7,1236.2,670.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_hp-e-mobo-c/1500761727_+00480.jpg
20170722_FIRE_hp-e-mobo-c,480,0.2405,1177.8,612.6,1237.6,646.7,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_hp-e-mobo-c/1500761727_+00480.jpg
20170722_FIRE_hp-e-mobo-c,480,0.0975,1177.4,574.8,1284.0,647.7,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_hp-e-mobo-c/1500761727_+00480.jpg
20170722_FIRE_hp-e-mobo-c,540,0.5257,1182.2,610.6,1239.5,644.5,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_hp-e-mobo-c/1500761787_+00540.jpg
20170722_FIRE_hp-e-mobo-c,540,0.1135,1180.3,604.7,1251.7,646.0,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_hp-e-mobo-c/1500761787_+00540.jpg
20170722_FIRE_so-s-mobo-c,0,0.3287,1105.4,679.2,1145.6,725.7,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_so-s-mobo-c/1500761241_+00000.jpg
