sequence,offset,conf,x1,y1,x2,y2,W,H,path
20170722_FIRE_mg-n-iqeye,0,0.0253,972.3,997.4,1013.4,1046.5,2560,1920,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_mg-n-iqeye/1500761360_+00000.jpg
20170722_FIRE_mg-n-iqeye,60,0.0160,970.7,996.2,1011.1,1043.0,2560,1920,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_mg-n-iqeye/1500761420_+00060.jpg
20170722_FIRE_mg-n-iqeye,120,0.0172,970.8,996.5,1012.5,1046.2,2560,1920,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_mg-n-iqeye/1500761480_+00120.jpg
20170722_FIRE_mg-n-iqeye,180,0.0193,971.2,996.5,1012.0,1041.4,2560,1920,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_mg-n-iqeye/1500761540_+00180.jpg
20170722_FIRE_mg-n-iqeye,240,0.0179,969.4,996.8,1011.2,1047.0,2560,1920,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_mg-n-iqeye/1500761600_+00240.jpg
20170722_FIRE_mg-n-iqeye,300,0.0269,971.4,997.3,1013.4,1044.7,2560,1920,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_mg-n-iqeye/1500761660_+00300.jpg
20170722_FIRE_mg-n-iqeye,360,0.0194,970.6,996.7,1013.5,1044.7,2560,1920,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_mg-n-iqeye/1500761720_+00360.jpg
20170722_FIRE_mg-n-iqeye,360,0.0131,876.3,929.6,928.7,976.2,2560,1920,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_mg-n-iqeye/1500761720_+00360.jpg
20170722_FIRE_mg-n-iqeye,420,0.0479,971.7,996.4,1012.7,1043.8,2560,1920,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_mg-n-iqeye/1500761780_+00420.jpg
20170722_FIRE_mg-n-iqeye,480,0.0191,971.3,996.5,1011.2,1046.4,2560,1920,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_mg-n-iqeye/1500761840_+00480.jpg
20170722_FIRE_mg-n-iqeye,540,0.0264,970.4,996.3,1014.9,1045.6,2560,1920,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_mg-n-iqeye/1500761900_+00540.jpg
20170807_FIRE_bh-n-mobo-c,60,0.0260,598.6,654.5,624.5,678.1,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170807_FIRE_bh-n-mobo-c/1502140990_+00060.jpg
20170807_FIRE_bh-n-mobo-c,180,0.0508,605.4,654.4,636.4,677.7,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170807_FIRE_bh-n-mobo-c/1502141110_+00180.jpg
20170807_FIRE_bh-n-mobo-c,240,0.0427,599.3,654.1,620.9,678.0,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170807_FIRE_bh-n-mobo-c/1502141170_+00240.jpg
