sequence,offset,conf,x1,y1,x2,y2,W,H
20160604_FIRE_rm-n-mobo-c,60,0.6737,1980.0,834.1,2046.7,883.7,2048,1536
20160604_FIRE_rm-n-mobo-c,120,0.7095,1967.4,812.6,2047.1,885.0,2048,1536
20160604_FIRE_rm-n-mobo-c,180,0.6540,1956.7,759.6,2047.4,884.8,2048,1536
20160604_FIRE_rm-n-mobo-c,240,0.1798,1953.1,717.9,2046.4,878.6,2048,1536
20160604_FIRE_smer-tcs3-mobo-c,60,0.7939,1913.4,792.0,2137.5,864.0,3072,2048
20160604_FIRE_smer-tcs3-mobo-c,120,0.7568,1857.7,694.8,2160.6,870.0,3072,2048
20160604_FIRE_smer-tcs3-mobo-c,180,0.2776,1834.8,603.5,2160.5,865.7,3072,2048
20160619_FIRE_lp-e-iqeye,360,0.1483,1525.0,528.5,1597.8,562.0,1600,1200
20160619_FIRE_lp-e-iqeye,480,0.1720,1514.5,520.3,1597.0,560.8,1600,1200
20160619_FIRE_lp-e-iqeye,600,0.3044,1496.3,516.6,1586.4,561.8,1600,1200
20160619_FIRE_lp-e-iqeye,720,0.4217,1492.7,504.9,1588.0,561.6,1600,1200
20160619_FIRE_lp-e-iqeye,840,0.4174,1490.9,504.0,1590.9,561.5,1600,1200
20160619_FIRE_lp-e-iqeye,960,0.1624,1486.8,505.9,1592.8,561.1,1600,1200
20160619_FIRE_lp-e-iqeye,1080,0.1432,1473.5,508.6,1589.2,561.0,1600,1200
20160619_FIRE_lp-e-iqeye,1200,0.4907,1474.9,508.0,1580.7,561.7,1600,1200
20160619_FIRE_lp-e-iqeye,1320,0.5553,1467.8,502.4,1573.1,561.9,1600,1200
20160619_FIRE_lp-e-iqeye,1320,0.1911,1499.5,503.0,1574.0,561.1,1600,1200
20160619_FIRE_lp-e-iqeye,1320,0.1034,1520.7,503.9,1572.3,561.6,1600,1200
20160619_FIRE_lp-e-iqeye,1440,0.2956,1509.4,496.8,1584.4,561.5,1600,1200
20160619_FIRE_lp-e-iqeye,1440,0.1926,1486.5,495.5,1591.3,561.9,1600,1200
20160619_FIRE_lp-e-iqeye,1560,0.5021,1514.3,495.5,1577.6,561.6,1600,1200
20160619_FIRE_lp-e-iqeye,1680,0.5793,1495.5,496.1,1582.2,561.9,1600,1200
20160619_FIRE_lp-e-iqeye,1800,0.3595,1489.8,494.5,1582.3,562.3,1600,1200
20160619_FIRE_lp-e-iqeye,1800,0.1322,1500.6,511.5,1580.4,561.9,1600,1200
20160619_FIRE_lp-e-iqeye,1800,0.1242,1528.0,529.9,1579.8,561.4,1600,1200
20160619_FIRE_lp-e-iqeye,1920,0.2940,1526.5,530.2,1576.4,561.4,1600,1200
20160619_FIRE_lp-e-iqeye,1920,0.1552,1480.3,497.2,1580.4,561.5,1600,1200
20160619_FIRE_lp-e-iqeye,1920,0.1474,1489.4,514.7,1577.9,561.4,1600,1200
20160619_FIRE_lp-e-iqeye,2400,0.1278,1528.3,527.9,1569.2,560.7,1600,1200
20160619_FIRE_lp-e-iqeye,2400,0.1158,1512.5,526.4,1573.4,561.2,1600,1200
20160619_FIRE_om-e-mobo-c,360,0.3749,1008.4,769.3,1040.6,803.6,2048,1536
20160619_FIRE_om-e-mobo-c,420,0.4507,1006.8,768.5,1046.7,803.7,2048,1536
20160619_FIRE_om-e-mobo-c,480,0.1487,1004.5,767.1,1050.5,805.8,2048,1536
20160619_FIRE_om-e-mobo-c,720,0.1877,1006.5,765.0,1074.3,804.4,2048,1536
20160619_FIRE_om-e-mobo-c,780,0.1554,1005.6,765.7,1080.1,802.3,2048,1536
20160619_FIRE_om-e-mobo-c,960,0.3449,1007.0,766.6,1041.3,801.4,2048,1536
20160619_FIRE_om-e-mobo-c,1020,0.2695,1004.9,766.3,1044.1,801.4,2048,1536
20160619_FIRE_om-e-mobo-c,1140,0.2821,1004.6,765.3,1051.5,802.7,2048,1536
20160619_FIRE_om-e-mobo-c,1200,0.3287,1005.0,761.8,1054.6,802.0,2048,1536
20160619_FIRE_om-e-mobo-c,1260,0.2785,1002.7,762.9,1058.5,801.2,2048,1536
20160619_FIRE_om-e-mobo-c,1320,0.2571,1004.3,758.5,1058.6,800.2,2048,1536
20160619_FIRE_om-e-mobo-c,1380,0.5926,1004.3,752.8,1061.3,800.5,2048,1536
20160619_FIRE_om-e-mobo-c,1440,0.5327,1000.8,748.0,1059.6,802.9,2048,1536
20160619_FIRE_om-e-mobo-c,1500,0.4146,998.2,744.2,1060.4,801.5,2048,1536
20160619_FIRE_om-e-mobo-c,1560,0.4015,998.2,756.3,1060.5,800.9,2048,1536
20160619_FIRE_om-e-mobo-c,1620,0.5538,996.6,744.2,1059.2,800.8,2048,1536
20160619_FIRE_om-e-mobo-c,1680,0.5456,995.4,743.0,1060.0,802.0,2048,1536
20160619_FIRE_om-e-mobo-c,1800,0.3510,993.0,740.2,1061.1,802.5,2048,1536
20160619_FIRE_om-e-mobo-c,1800,0.2146,996.2,759.4,1060.6,802.1,2048,1536
20160619_FIRE_om-e-mobo-c,1860,0.3328,993.7,756.4,1059.9,801.2,2048,1536
20160619_FIRE_om-e-mobo-c,1860,0.1189,988.2,742.8,1060.8,801.2,2048,1536
20160619_FIRE_om-e-mobo-c,1920,0.3271,998.1,759.6,1059.1,800.7,2048,1536
20160619_FIRE_om-e-mobo-c,1920,0.2790,989.1,746.9,1060.1,801.3,2048,1536
20160619_FIRE_om-e-mobo-c,1980,0.4126,995.8,760.8,1059.2,801.3,2048,1536
20160619_FIRE_om-e-mobo-c,2040,0.2611,991.2,757.7,1060.0,801.7,2048,1536
20160619_FIRE_om-e-mobo-c,2100,0.2420,995.8,761.6,1060.4,801.5,2048,1536
20160619_FIRE_om-e-mobo-c,2160,0.2667,998.0,761.7,1061.6,800.3,2048,1536
20160619_FIRE_om-e-mobo-c,2280,0.1404,992.7,760.1,1061.5,801.4,2048,1536
20160619_FIRE_pi-s-mobo-c,900,0.4586,0.0,828.8,61.5,910.2,2048,1536
20160619_FIRE_pi-s-mobo-c,960,0.3418,0.0,823.4,47.8,909.8,2048,1536
20160619_FIRE_pi-s-mobo-c,1020,0.1689,0.0,850.3,51.4,913.8,2048,1536
20160619_FIRE_pi-s-mobo-c,1200,0.1120,1660.2,654.1,1744.2,717.8,2048,1536
20160619_FIRE_pi-s-mobo-c,1260,0.1107,1648.5,647.1,1739.6,716.0,2048,1536
20160718_FIRE_lp-n-iqeye,720,0.1975,787.2,470.2,863.8,513.6,1600,1200
20160718_FIRE_mg-s-iqeye,-2400,0.2006,109.9,512.3,138.9,542.9,1600,1200
20160718_FIRE_mg-s-iqeye,-2280,0.1432,107.5,512.0,142.9,542.7,1600,1200
20160718_FIRE_mg-s-iqeye,-2160,0.2675,109.8,512.1,136.4,542.8,1600,1200
20160718_FIRE_mg-s-iqeye,-2040,0.2141,110.1,512.0,135.6,542.3,1600,1200
20160718_FIRE_mg-s-iqeye,-1920,0.1402,109.3,512.8,136.0,542.6,1600,1200
20160718_FIRE_mg-s-iqeye,-1800,0.1958,109.4,512.1,136.2,542.5,1600,1200
20160718_FIRE_mg-s-iqeye,-1680,0.1440,109.2,511.7,138.1,543.0,1600,1200
20160718_FIRE_mg-s-iqeye,-1560,0.2021,108.6,512.0,135.3,543.1,1600,1200
20160718_FIRE_mg-s-iqeye,-1320,0.1829,109.0,511.7,137.4,542.3,1600,1200
20160718_FIRE_mg-s-iqeye,-1200,0.1065,107.8,511.8,138.9,542.5,1600,1200
20160718_FIRE_mg-s-iqeye,-1080,0.1063,109.6,512.9,137.1,542.5,1600,1200
20160718_FIRE_mg-s-iqeye,-840,0.1518,111.0,512.0,138.0,542.6,1600,1200
20160718_FIRE_mg-s-iqeye,-600,0.1136,108.9,511.8,140.2,542.4,1600,1200
20160718_FIRE_mg-s-iqeye,-240,0.1096,108.2,512.1,139.6,542.8,1600,1200
20160718_FIRE_mg-s-iqeye,120,0.1005,107.8,513.1,141.9,543.0,1600,1200
20160718_FIRE_mg-s-iqeye,720,0.3156,482.4,543.3,539.1,568.7,1600,1200
