sequence,offset,conf,x1,y1,x2,y2,W,H
20160604_FIRE_rm-n-mobo-c,-2280,0.0859,486.8,804.4,619.3,871.7,2048,1536
20160604_FIRE_rm-n-mobo-c,-2220,0.0689,483.3,805.2,626.3,872.7,2048,1536
20160604_FIRE_rm-n-mobo-c,-2160,0.0562,488.0,806.1,633.6,872.9,2048,1536
20160604_FIRE_rm-n-mobo-c,-2040,0.0740,504.9,805.9,635.5,872.8,2048,1536
20160604_FIRE_rm-n-mobo-c,-1980,0.1402,512.0,805.8,640.7,872.9,2048,1536
20160604_FIRE_rm-n-mobo-c,-1920,0.1062,515.8,805.5,647.5,873.0,2048,1536
20160604_FIRE_rm-n-mobo-c,-1860,0.1693,554.5,807.6,648.1,872.6,2048,1536
20160604_FIRE_rm-n-mobo-c,-1800,0.2395,554.5,807.9,655.6,873.0,2048,1536
20160604_FIRE_rm-n-mobo-c,-1740,0.3210,554.8,808.4,659.0,873.1,2048,1536
20160604_FIRE_rm-n-mobo-c,-1680,0.1157,549.6,808.9,664.9,874.0,2048,1536
20160604_FIRE_rm-n-mobo-c,-1620,0.1086,535.4,809.5,669.6,873.9,2048,1536
20160604_FIRE_rm-n-mobo-c,-1620,0.0561,569.4,810.6,664.9,873.0,2048,1536
20160604_FIRE_rm-n-mobo-c,-1560,0.0938,538.6,810.0,678.5,873.8,2048,1536
20160604_FIRE_rm-n-mobo-c,-1560,0.0712,557.7,810.9,657.6,872.5,2048,1536
20160604_FIRE_rm-n-mobo-c,-1500,0.1700,561.0,811.7,656.0,872.2,2048,1536
20160604_FIRE_rm-n-mobo-c,-1440,0.1129,569.1,810.9,657.9,872.4,2048,1536
20160604_FIRE_rm-n-mobo-c,-1440,0.0751,547.2,810.2,671.1,873.7,2048,1536
20160604_FIRE_rm-n-mobo-c,-1380,0.1248,553.3,810.7,660.8,872.3,2048,1536
20160604_FIRE_rm-n-mobo-c,-1320,0.1027,543.4,810.9,680.3,873.8,2048,1536
20160604_FIRE_rm-n-mobo-c,-1260,0.1367,551.1,811.8,661.7,872.3,2048,1536
20160604_FIRE_rm-n-mobo-c,-1080,0.0511,570.6,814.9,706.8,877.0,2048,1536
20160604_FIRE_rm-n-mobo-c,-840,0.0938,653.0,828.2,724.5,879.6,2048,1536
20160604_FIRE_rm-n-mobo-c,-180,0.0861,744.2,846.2,784.4,883.4,2048,1536
20160604_FIRE_rm-n-mobo-c,-60,0.0640,748.4,845.1,788.5,883.9,2048,1536
20160604_FIRE_rm-n-mobo-c,0,0.0736,749.3,841.2,792.8,884.3,2048,1536
20160604_FIRE_rm-n-mobo-c,60,0.7509,1982.0,835.1,2047.3,883.9,2048,1536
20160604_FIRE_rm-n-mobo-c,120,0.7939,1967.8,813.9,2047.1,882.9,2048,1536
20160604_FIRE_rm-n-mobo-c,180,0.8515,1956.8,759.1,2048.0,883.2,2048,1536
20160604_FIRE_rm-n-mobo-c,240,0.6773,1953.5,720.6,2048.0,877.3,2048,1536
20160604_FIRE_rm-n-mobo-c,240,0.0965,1960.3,613.3,2048.0,881.3,2048,1536
20160604_FIRE_rm-n-mobo-c,300,0.5581,1952.7,662.4,2048.0,878.2,2048,1536
20160604_FIRE_rm-n-mobo-c,300,0.0669,1973.0,560.6,2047.6,918.2,2048,1536
20160604_FIRE_rm-n-mobo-c,360,0.6944,1948.8,572.6,2048.0,881.8,2048,1536
20160604_FIRE_rm-n-mobo-c,360,0.0577,1963.4,463.8,2047.8,895.9,2048,1536
20160604_FIRE_rm-n-mobo-c,420,0.5410,1937.5,501.1,2046.4,881.9,2048,1536
20160604_FIRE_rm-n-mobo-c,480,0.4464,1925.3,438.1,2048.0,897.9,2048,1536
20160604_FIRE_rm-n-mobo-c,540,0.4085,1923.8,460.9,2048.0,882.1,2048,1536
20160604_FIRE_rm-n-mobo-c,600,0.4453,1941.3,479.6,2048.0,917.9,2048,1536
20160604_FIRE_rm-n-mobo-c,600,0.2551,1909.7,452.0,2048.0,886.4,2048,1536
20160604_FIRE_rm-n-mobo-c,660,0.3801,1916.4,480.3,2048.0,881.8,2048,1536
20160604_FIRE_rm-n-mobo-c,720,0.5304,1906.2,495.9,2048.0,879.0,2048,1536
20160604_FIRE_rm-n-mobo-c,780,0.5893,1886.9,506.3,2047.7,871.6,2048,1536
20160604_FIRE_rm-n-mobo-c,840,0.4110,1863.8,496.1,2047.1,882.8,2048,1536
20160604_FIRE_rm-n-mobo-c,900,0.2117,1843.0,482.6,2048.0,871.4,2048,1536
20160604_FIRE_rm-n-mobo-c,960,0.0644,1825.6,483.5,2048.0,867.2,2048,1536
20160604_FIRE_rm-n-mobo-c,1020,0.2644,1812.0,511.3,2047.4,873.2,2048,1536
20160604_FIRE_rm-n-mobo-c,1080,0.4622,1791.3,544.5,2048.0,867.2,2048,1536
20160604_FIRE_rm-n-mobo-c,1140,0.5709,1777.2,553.3,2048.0,867.4,2048,1536
20160604_FIRE_rm-n-mobo-c,1200,0.6207,1756.4,554.9,2048.0,872.9,2048,1536
20160604_FIRE_rm-n-mobo-c,1200,0.0830,1879.7,551.5,2047.8,872.3,2048,1536
20160604_FIRE_rm-n-mobo-c,1260,0.5661,1746.4,537.9,2048.0,874.9,2048,1536
20160604_FIRE_rm-n-mobo-c,1320,0.3700,1736.6,528.0,2047.8,874.7,2048,1536
20160604_FIRE_rm-n-mobo-c,1320,0.0805,1832.3,528.6,2046.5,875.2,2048,1536
20160604_FIRE_rm-n-mobo-c,1380,0.3267,1697.9,542.4,2047.2,876.1,2048,1536
20160604_FIRE_rm-n-mobo-c,1440,0.3364,1699.4,548.2,2048.0,873.8,2048,1536
20160604_FIRE_rm-n-mobo-c,1440,0.1215,1867.7,547.7,2048.0,875.4,2048,1536
20160604_FIRE_rm-n-mobo-c,1500,0.0837,1694.4,551.6,2048.0,875.4,2048,1536
20160604_FIRE_rm-n-mobo-c,1500,0.0553,1877.7,606.2,2048.0,881.6,2048,1536
20160604_FIRE_rm-n-mobo-c,1560,0.1054,1889.5,723.8,2013.9,870.4,2048,1536
20160604_FIRE_rm-n-mobo-c,1560,0.0582,1885.5,635.5,2045.1,877.7,2048,1536
20160604_FIRE_rm-n-mobo-c,1560,0.0561,1687.9,552.1,2047.6,880.1,2048,1536
20160604_FIRE_rm-n-mobo-c,1620,0.0812,1885.1,668.7,2047.2,882.6,2048,1536
20160604_FIRE_rm-n-mobo-c,1620,0.0627,2026.3,837.9,2048.0,887.3,2048,1536
20160604_FIRE_rm-n-mobo-c,1680,0.0578,1873.0,552.9,2047.6,881.5,2048,1536
20160604_FIRE_rm-n-mobo-c,1740,0.1915,1875.4,615.0,2047.1,877.1,2048,1536
20160604_FIRE_rm-n-mobo-c,1800,0.2392,1881.9,628.4,2047.3,877.0,2048,1536
20160604_FIRE_rm-n-mobo-c,1860,0.3146,1878.4,737.9,2007.6,871.1,2048,1536
20160604_FIRE_rm-n-mobo-c,1860,0.1910,1875.3,637.1,2046.2,872.9,2048,1536
20160604_FIRE_rm-n-mobo-c,1860,0.0594,752.5,851.6,800.1,884.8,2048,1536
20160604_FIRE_rm-n-mobo-c,1920,0.3496,1872.0,745.2,2024.6,870.4,2048,1536
20160604_FIRE_rm-n-mobo-c,1980,0.1775,1841.6,531.1,2048.0,878.0,2048,1536
20160604_FIRE_rm-n-mobo-c,1980,0.1472,1871.5,742.2,2021.3,871.2,2048,1536
20160604_FIRE_rm-n-mobo-c,2040,0.3745,1786.5,529.7,2048.0,880.7,2048,1536
20160604_FIRE_rm-n-mobo-c,2100,0.1957,1791.3,529.0,2048.0,878.5,2048,1536
20160604_FIRE_rm-n-mobo-c,2280,0.2177,1891.7,752.8,2048.0,881.6,2048,1536
20160604_FIRE_rm-n-mobo-c,2280,0.1529,1905.0,794.9,2046.6,877.1,2048,1536
20160604_FIRE_rm-n-mobo-c,2280,0.1056,1889.6,677.3,2048.0,881.9,2048,1536
20160604_FIRE_rm-n-mobo-c,2340,0.2912,1912.1,750.3,2048.0,883.4,2048,1536
20160604_FIRE_rm-n-mobo-c,2340,0.1369,1903.5,691.3,2047.3,879.6,2048,1536
20160604_FIRE_rm-n-mobo-c,2340,0.0955,1812.3,652.2,2048.0,883.3,2048,1536
20160604_FIRE_rm-n-mobo-c,2400,0.3525,1912.8,780.2,2048.0,880.8,2048,1536
20160604_FIRE_rm-n-mobo-c,2400,0.1834,1904.7,720.3,2047.9,882.0,2048,1536
20160604_FIRE_smer-tcs3-mobo-c,0,0.3797,2011.2,826.7,2064.2,856.7,3072,2048
20160604_FIRE_smer-tcs3-mobo-c,60,0.7835,1912.5,792.5,2137.0,863.5,3072,2048
20160604_FIRE_smer-tcs3-mobo-c,60,0.0768,1911.5,792.2,2012.1,857.2,3072,2048
20160604_FIRE_smer-tcs3-mobo-c,120,0.8856,1856.9,693.4,2159.2,868.1,3072,2048
20160604_FIRE_smer-tcs3-mobo-c,180,0.7463,1835.1,604.3,2165.9,864.6,3072,2048
20160619_FIRE_lp-e-iqeye,240,0.1916,1552.8,534.0,1585.4,562.0,1600,1200
20160619_FIRE_lp-e-iqeye,360,0.2190,1527.9,529.7,1584.6,561.3,1600,1200
20160619_FIRE_lp-e-iqeye,480,0.4288,1518.8,519.3,1588.6,559.1,1600,1200
20160619_FIRE_lp-e-iqeye,480,0.0627,1519.8,512.4,1600.0,563.5,1600,1200
20160619_FIRE_lp-e-iqeye,600,0.6990,1511.6,508.9,1582.2,560.7,1600,1200
20160619_FIRE_lp-e-iqeye,720,0.7519,1507.9,499.9,1584.3,561.1,1600,1200
20160619_FIRE_lp-e-iqeye,840,0.7593,1504.5,501.6,1587.1,561.0,1600,1200
20160619_FIRE_lp-e-iqeye,960,0.6241,1494.7,505.2,1586.3,560.3,1600,1200
20160619_FIRE_lp-e-iqeye,1080,0.2679,1497.2,515.1,1580.6,560.7,1600,1200
20160619_FIRE_lp-e-iqeye,1080,0.1188,1521.1,522.8,1579.0,560.6,1600,1200
