sequence,offset,conf,x1,y1,x2,y2,W,H,tile_x0,tile_y0
20160604_FIRE_rm-n-mobo-c,60,0.6350,1979.7,834.0,2047.3,883.8,2048,1536,1024,0
20160604_FIRE_rm-n-mobo-c,60,0.6132,1979.8,834.1,2047.3,883.8,2048,1536,1024,512
20160604_FIRE_rm-n-mobo-c,120,0.6471,1970.2,812.4,2047.7,883.3,2048,1536,1024,0
20160604_FIRE_rm-n-mobo-c,120,0.6464,1970.3,812.4,2047.7,883.2,2048,1536,1024,512
20160604_FIRE_rm-n-mobo-c,180,0.4326,1956.1,760.4,2048.0,885.3,2048,1536,1024,0
20160604_FIRE_rm-n-mobo-c,180,0.2951,1955.9,761.1,2048.0,886.0,2048,1536,1024,512
20160604_FIRE_rm-n-mobo-c,780,0.3262,1903.0,833.3,1919.1,864.8,2048,1536,896,0
20160604_FIRE_rm-n-mobo-c,780,0.3696,1903.0,833.3,1919.0,864.7,2048,1536,896,512
20160604_FIRE_rm-n-mobo-c,840,0.1198,1897.0,831.9,1919.4,867.0,2048,1536,896,512
20160604_FIRE_rm-n-mobo-c,900,0.1148,1906.0,834.3,1919.6,864.9,2048,1536,896,0
20160604_FIRE_rm-n-mobo-c,900,0.1351,1906.0,834.4,1919.6,864.9,2048,1536,896,512
20160604_FIRE_rm-n-mobo-c,1140,0.1348,1899.9,786.4,1920.0,865.3,2048,1536,896,0
20160604_FIRE_rm-n-mobo-c,1140,0.1652,1899.8,786.4,1920.0,865.4,2048,1536,896,512
20160604_FIRE_rm-n-mobo-c,1200,0.1113,1889.5,803.6,1919.6,862.9,2048,1536,896,512
20160604_FIRE_rm-n-mobo-c,1260,0.1839,1888.4,797.8,1919.7,863.0,2048,1536,896,0
20160604_FIRE_rm-n-mobo-c,1260,0.2095,1888.2,798.1,1919.7,863.1,2048,1536,896,512
20160604_FIRE_rm-n-mobo-c,1560,0.1483,1886.7,803.7,1919.6,863.8,2048,1536,896,0
20160604_FIRE_rm-n-mobo-c,1560,0.2027,1886.5,803.8,1919.6,863.8,2048,1536,896,512
20160604_FIRE_rm-n-mobo-c,1680,0.1135,1881.2,799.4,1920.0,869.5,2048,1536,896,512
20160604_FIRE_rm-n-mobo-c,1740,0.1098,1879.2,795.2,1920.0,868.4,2048,1536,896,512
