sequence,offset,conf,x1,y1,x2,y2,W,H
20160604_FIRE_rm-n-mobo-c,-1260,0.0522,434.0,839.9,456.1,862.5,2048,1536
20160604_FIRE_rm-n-mobo-c,-1260,0.0540,434.1,839.4,456.2,862.7,2048,1536
20160604_FIRE_rm-n-mobo-c,-480,0.1023,397.8,842.2,408.8,857.6,2048,1536
20160604_FIRE_rm-n-mobo-c,-480,0.1111,397.7,841.8,408.9,857.8,2048,1536
20160604_FIRE_rm-n-mobo-c,-420,0.0966,389.1,839.6,403.5,856.4,2048,1536
20160604_FIRE_rm-n-mobo-c,-420,0.0671,472.2,854.2,493.6,870.4,2048,1536
20160604_FIRE_rm-n-mobo-c,-420,0.1072,389.0,839.2,403.6,856.5,2048,1536
20160604_FIRE_rm-n-mobo-c,-420,0.0602,472.4,854.0,493.4,870.5,2048,1536
20160604_FIRE_rm-n-mobo-c,-420,0.0519,385.3,836.9,402.7,856.0,2048,1536
20160604_FIRE_rm-n-mobo-c,-240,0.0593,465.7,853.3,487.1,869.4,2048,1536
20160604_FIRE_rm-n-mobo-c,-240,0.0526,465.8,853.0,486.9,869.4,2048,1536
20160604_FIRE_rm-n-mobo-c,-180,0.0881,476.7,850.1,495.5,870.1,2048,1536
20160604_FIRE_rm-n-mobo-c,-180,0.0808,476.6,849.7,495.4,870.1,2048,1536
20160604_FIRE_rm-n-mobo-c,0,0.0815,469.7,854.3,487.6,869.6,2048,1536
20160604_FIRE_rm-n-mobo-c,0,0.0864,469.7,854.0,487.6,869.7,2048,1536
20160604_FIRE_rm-n-mobo-c,60,0.1590,476.3,856.3,490.8,870.0,2048,1536
20160604_FIRE_rm-n-mobo-c,60,0.0728,474.3,853.2,491.1,869.8,2048,1536
20160604_FIRE_rm-n-mobo-c,60,0.5942,1981.2,834.8,2047.4,882.5,2048,1536
20160604_FIRE_rm-n-mobo-c,60,0.0960,2031.9,838.0,2047.8,884.6,2048,1536
20160604_FIRE_rm-n-mobo-c,60,0.1547,476.2,855.9,490.7,870.0,2048,1536
20160604_FIRE_rm-n-mobo-c,60,0.0654,475.6,853.0,493.9,870.4,2048,1536
20160604_FIRE_rm-n-mobo-c,60,0.5964,1981.2,834.8,2047.4,882.6,2048,1536
20160604_FIRE_rm-n-mobo-c,60,0.1076,2031.6,837.9,2047.8,884.6,2048,1536
20160604_FIRE_rm-n-mobo-c,120,0.5893,1968.9,811.8,2047.6,882.9,2048,1536
20160604_FIRE_rm-n-mobo-c,120,0.0718,2037.0,812.4,2047.8,883.4,2048,1536
20160604_FIRE_rm-n-mobo-c,120,0.6217,1968.9,811.8,2047.6,882.8,2048,1536
20160604_FIRE_rm-n-mobo-c,120,0.0806,2036.9,812.5,2047.8,883.5,2048,1536
20160604_FIRE_rm-n-mobo-c,180,0.5282,1957.0,759.4,2047.7,888.4,2048,1536
20160604_FIRE_rm-n-mobo-c,180,0.6056,1957.2,760.0,2047.7,888.2,2048,1536
20160604_FIRE_rm-n-mobo-c,240,0.0979,1976.3,729.0,2047.7,914.3,2048,1536
20160604_FIRE_rm-n-mobo-c,240,0.1419,1975.9,728.6,2047.8,912.8,2048,1536
20160604_FIRE_rm-n-mobo-c,300,0.1509,1952.9,697.9,2047.1,887.8,2048,1536
20160604_FIRE_rm-n-mobo-c,300,0.2279,1952.6,694.3,2047.2,886.4,2048,1536
20160604_FIRE_rm-n-mobo-c,360,0.1428,1956.2,574.9,2048.0,898.3,2048,1536
20160604_FIRE_rm-n-mobo-c,360,0.0622,1931.8,605.3,2048.0,880.1,2048,1536
20160604_FIRE_rm-n-mobo-c,360,0.1904,1956.7,574.6,2048.0,894.5,2048,1536
20160604_FIRE_rm-n-mobo-c,420,0.2057,475.7,851.3,495.0,870.2,2048,1536
20160604_FIRE_rm-n-mobo-c,420,0.0826,474.8,848.3,498.2,869.7,2048,1536
20160604_FIRE_rm-n-mobo-c,420,0.2029,475.7,851.0,494.8,870.2,2048,1536
20160604_FIRE_rm-n-mobo-c,420,0.0760,474.8,847.9,498.1,869.7,2048,1536
20160604_FIRE_rm-n-mobo-c,600,0.0664,1910.6,848.1,1920.0,865.4,2048,1536
20160604_FIRE_rm-n-mobo-c,600,0.0635,1910.8,848.5,1920.0,865.4,2048,1536
20160604_FIRE_rm-n-mobo-c,660,0.1282,474.6,850.9,496.5,870.3,2048,1536
20160604_FIRE_rm-n-mobo-c,660,0.1168,474.7,850.6,496.3,870.4,2048,1536
20160604_FIRE_rm-n-mobo-c,660,0.0513,470.7,847.8,495.4,870.0,2048,1536
20160604_FIRE_rm-n-mobo-c,780,0.2245,1902.1,833.0,1920.0,865.1,2048,1536
20160604_FIRE_rm-n-mobo-c,780,0.0903,1903.3,820.9,1920.0,864.0,2048,1536
20160604_FIRE_rm-n-mobo-c,780,0.0621,1902.6,831.1,1919.9,879.1,2048,1536
20160604_FIRE_rm-n-mobo-c,780,0.2673,1902.3,833.0,1920.0,864.9,2048,1536
20160604_FIRE_rm-n-mobo-c,780,0.1049,1903.5,822.6,1920.0,864.0,2048,1536
20160604_FIRE_rm-n-mobo-c,780,0.0755,1902.6,831.0,1919.8,879.7,2048,1536
20160604_FIRE_rm-n-mobo-c,840,0.0943,477.7,855.7,491.6,870.0,2048,1536
20160604_FIRE_rm-n-mobo-c,840,0.0621,477.6,854.5,495.9,870.3,2048,1536
20160604_FIRE_rm-n-mobo-c,840,0.0943,1895.0,830.2,1920.0,864.1,2048,1536
20160604_FIRE_rm-n-mobo-c,840,0.0837,477.6,855.3,491.5,870.0,2048,1536
20160604_FIRE_rm-n-mobo-c,840,0.0535,477.6,854.1,495.7,870.4,2048,1536
20160604_FIRE_rm-n-mobo-c,840,0.1098,1895.4,830.1,1920.0,864.3,2048,1536
