sequence,offset,max_conf
20160604_FIRE_rm-n-mobo-c,-2400,0.19233831763267517
20160604_FIRE_rm-n-mobo-c,-2340,0.056627050042152405
20160604_FIRE_rm-n-mobo-c,-2280,0.12915083765983582
20160604_FIRE_rm-n-mobo-c,-2220,0.09541072696447372
20160604_FIRE_rm-n-mobo-c,-2160,0.027684085071086884
20160604_FIRE_rm-n-mobo-c,-2100,0.04312974587082863
20160604_FIRE_rm-n-mobo-c,-2040,0.03624502941966057
20160604_FIRE_rm-n-mobo-c,-1980,0.07768059521913528
20160604_FIRE_rm-n-mobo-c,-1920,0.15871353447437286
20160604_FIRE_rm-n-mobo-c,-1860,0.26020199060440063
20160604_FIRE_rm-n-mobo-c,-1800,0.2638451159000397
20160604_FIRE_rm-n-mobo-c,-1740,0.5174455046653748
20160604_FIRE_rm-n-mobo-c,-1680,0.05608287453651428
20160604_FIRE_rm-n-mobo-c,-1620,0.1041683778166771
20160604_FIRE_rm-n-mobo-c,-1560,0.043668512254953384
20160604_FIRE_rm-n-mobo-c,-1500,0.012806461192667484
20160604_FIRE_rm-n-mobo-c,-1440,0.01323381345719099
20160604_FIRE_rm-n-mobo-c,-1380,0.012336041778326035
20160604_FIRE_rm-n-mobo-c,-1320,0.0035582324489951134
20160604_FIRE_rm-n-mobo-c,-1260,0.010867966338992119
20160604_FIRE_rm-n-mobo-c,-1200,0.0031393554527312517
20160604_FIRE_rm-n-mobo-c,-1140,0.008539557456970215
20160604_FIRE_rm-n-mobo-c,-1080,0.0016226193401962519
20160604_FIRE_rm-n-mobo-c,-1020,0.007319032680243254
20160604_FIRE_rm-n-mobo-c,-960,0.0011925265425816178
20160604_FIRE_rm-n-mobo-c,-900,0.0
20160604_FIRE_rm-n-mobo-c,-840,0.005697705317288637
20160604_FIRE_rm-n-mobo-c,-780,0.005753849167376757
20160604_FIRE_rm-n-mobo-c,-720,0.0016898810863494873
20160604_FIRE_rm-n-mobo-c,-660,0.0022255692165344954
20160604_FIRE_rm-n-mobo-c,-600,0.002527314703911543
20160604_FIRE_rm-n-mobo-c,-540,0.007520013488829136
20160604_FIRE_rm-n-mobo-c,-480,0.0017192913219332695
20160604_FIRE_rm-n-mobo-c,-420,0.00972065981477499
20160604_FIRE_rm-n-mobo-c,-360,0.0024496105033904314
20160604_FIRE_rm-n-mobo-c,-300,0.004770149011164904
20160604_FIRE_rm-n-mobo-c,-240,0.030240586027503014
20160604_FIRE_rm-n-mobo-c,-180,0.03327179327607155
20160604_FIRE_rm-n-mobo-c,-120,0.022846028208732605
20160604_FIRE_rm-n-mobo-c,-60,0.024876069277524948
20160604_FIRE_rm-n-mobo-c,0,0.11583211272954941
20160604_FIRE_rm-n-mobo-c,60,0.6489741206169128
20160604_FIRE_rm-n-mobo-c,120,0.7825453281402588
20160604_FIRE_rm-n-mobo-c,180,0.83407062292099
20160604_FIRE_rm-n-mobo-c,240,0.5853804349899292
20160604_FIRE_rm-n-mobo-c,300,0.6276109218597412
20160604_FIRE_rm-n-mobo-c,360,0.47381123900413513
20160604_FIRE_rm-n-mobo-c,420,0.3219396770000458
20160604_FIRE_rm-n-mobo-c,480,0.2695578634738922
20160604_FIRE_rm-n-mobo-c,540,0.21607860922813416
20160604_FIRE_rm-n-mobo-c,600,0.21149864792823792
20160604_FIRE_rm-n-mobo-c,660,0.20539548993110657
20160604_FIRE_rm-n-mobo-c,720,0.15315090119838715
20160604_FIRE_rm-n-mobo-c,780,0.13608573377132416
20160604_FIRE_rm-n-mobo-c,840,0.10219195485115051
20160604_FIRE_rm-n-mobo-c,900,0.17610128223896027
20160604_FIRE_rm-n-mobo-c,960,0.06844239681959152
20160604_FIRE_rm-n-mobo-c,1020,0.09590274840593338
20160604_FIRE_rm-n-mobo-c,1080,0.10766178369522095
20160604_FIRE_rm-n-mobo-c,1140,0.12643752992153168
20160604_FIRE_rm-n-mobo-c,1200,0.0673164650797844
20160604_FIRE_rm-n-mobo-c,1260,0.02495020627975464
20160604_FIRE_rm-n-mobo-c,1320,0.03230436146259308
20160604_FIRE_rm-n-mobo-c,1380,0.02600918710231781
20160604_FIRE_rm-n-mobo-c,1440,0.013945445418357849
20160604_FIRE_rm-n-mobo-c,1500,0.007021503057330847
20160604_FIRE_rm-n-mobo-c,1560,0.04657193645834923
20160604_FIRE_rm-n-mobo-c,1620,0.024502631276845932
20160604_FIRE_rm-n-mobo-c,1680,0.02136773243546486
20160604_FIRE_rm-n-mobo-c,1740,0.016878098249435425
20160604_FIRE_rm-n-mobo-c,1800,0.04385356605052948
20160604_FIRE_rm-n-mobo-c,1860,0.011546093970537186
20160604_FIRE_rm-n-mobo-c,1920,0.028065845370292664
20160604_FIRE_rm-n-mobo-c,1980,0.021310098469257355
20160604_FIRE_rm-n-mobo-c,2040,0.03865167871117592
20160604_FIRE_rm-n-mobo-c,2100,0.03632466867566109
20160604_FIRE_rm-n-mobo-c,2160,0.06226368620991707
20160604_FIRE_rm-n-mobo-c,2220,0.03917538374662399
20160604_FIRE_rm-n-mobo-c,2280,0.02185332030057907
20160604_FIRE_rm-n-mobo-c,2340,0.053466252982616425
20160604_FIRE_rm-n-mobo-c,2400,0.07061831653118134
20160604_FIRE_smer-tcs3-mobo-c,-2400,0.07012760639190674
20160604_FIRE_smer-tcs3-mobo-c,-2340,0.08420134335756302
20160604_FIRE_smer-tcs3-mobo-c,-2280,0.06309022754430771
20160604_FIRE_smer-tcs3-mobo-c,-2220,0.05900653079152107
20160604_FIRE_smer-tcs3-mobo-c,-2160,0.05821067467331886
20160604_FIRE_smer-tcs3-mobo-c,-2100,0.0654996857047081
20160604_FIRE_smer-tcs3-mobo-c,-2040,0.05691913887858391
20160604_FIRE_smer-tcs3-mobo-c,-1980,0.07559565454721451
20160604_FIRE_smer-tcs3-mobo-c,-1920,0.0625055730342865
20160604_FIRE_smer-tcs3-mobo-c,-1860,0.07772986590862274
20160604_FIRE_smer-tcs3-mobo-c,-1800,0.08816350996494293
20160604_FIRE_smer-tcs3-mobo-c,-1740,0.08635983616113663
20160604_FIRE_smer-tcs3-mobo-c,-1680,0.0896664708852768
20160604_FIRE_smer-tcs3-mobo-c,-1620,0.09969485551118851
20160604_FIRE_smer-tcs3-mobo-c,-1560,0.08348549902439117
20160604_FIRE_smer-tcs3-mobo-c,-1500,0.08685871958732605
20160604_FIRE_smer-tcs3-mobo-c,-1440,0.09389502555131912
20160604_FIRE_smer-tcs3-mobo-c,-1380,0.08568842709064484
20160604_FIRE_smer-tcs3-mobo-c,-1320,0.08874444663524628
20160604_FIRE_smer-tcs3-mobo-c,-1260,0.08409550786018372
20160604_FIRE_smer-tcs3-mobo-c,-1200,0.09207180142402649
20160604_FIRE_smer-tcs3-mobo-c,-1140,0.09362401068210602
20160604_FIRE_smer-tcs3-mobo-c,-1080,0.06912223994731903
20160604_FIRE_smer-tcs3-mobo-c,-1020,0.07627154141664505
20160604_FIRE_smer-tcs3-mobo-c,-960,0.08410007506608963
20160604_FIRE_smer-tcs3-mobo-c,-900,0.06629003584384918
20160604_FIRE_smer-tcs3-mobo-c,-840,0.06371129304170609
20160604_FIRE_smer-tcs3-mobo-c,-780,0.06956220418214798
20160604_FIRE_smer-tcs3-mobo-c,-720,0.07419926673173904
20160604_FIRE_smer-tcs3-mobo-c,-660,0.0797799825668335
20160604_FIRE_smer-tcs3-mobo-c,-600,0.06253339350223541
20160604_FIRE_smer-tcs3-mobo-c,-540,0.05922950804233551
20160604_FIRE_smer-tcs3-mobo-c,-480,0.07420319318771362
20160604_FIRE_smer-tcs3-mobo-c,-420,0.06679850071668625
20160604_FIRE_smer-tcs3-mobo-c,-360,0.062352802604436874
20160604_FIRE_smer-tcs3-mobo-c,-300,0.05308718606829643
20160604_FIRE_smer-tcs3-mobo-c,-240,0.05719548836350441
20160604_FIRE_smer-tcs3-mobo-c,-180,0.05702407285571098
20160604_FIRE_smer-tcs3-mobo-c,-120,0.05730230361223221
20160604_FIRE_smer-tcs3-mobo-c,-60,0.0729769766330719
20160604_FIRE_smer-tcs3-mobo-c,0,0.048022788017988205
20160604_FIRE_smer-tcs3-mobo-c,60,0.5812877416610718
20160604_FIRE_smer-tcs3-mobo-c,120,0.8780719041824341
20160604_FIRE_smer-tcs3-mobo-c,180,0.7922624349594116
20160604_FIRE_smer-tcs3-mobo-c,240,0.4609644114971161
20160604_FIRE_smer-tcs3-mobo-c,300,0.14521898329257965
20160604_FIRE_smer-tcs3-mobo-c,360,0.042901087552309036
20160604_FIRE_smer-tcs3-mobo-c,420,0.032341573387384415
20160604_FIRE_smer-tcs3-mobo-c,480,0.2172340452671051
20160604_FIRE_smer-tcs3-mobo-c,540,0.17053236067295074
20160604_FIRE_smer-tcs3-mobo-c,600,0.041385285556316376
20160604_FIRE_smer-tcs3-mobo-c,660,0.05801507830619812
20160604_FIRE_smer-tcs3-mobo-c,720,0.06771130859851837
20160604_FIRE_smer-tcs3-mobo-c,780,0.21207118034362793
20160604_FIRE_smer-tcs3-mobo-c,840,0.10528507828712463
20160604_FIRE_smer-tcs3-mobo-c,900,0.019264433532953262
20160604_FIRE_smer-tcs3-mobo-c,960,0.07674669474363327
20160604_FIRE_smer-tcs3-mobo-c,1020,0.033770956099033356
20160604_FIRE_smer-tcs3-mobo-c,1080,0.09753749519586563
20160604_FIRE_smer-tcs3-mobo-c,1140,0.031558871269226074
20160604_FIRE_smer-tcs3-mobo-c,1200,0.03795350715517998
20160604_FIRE_smer-tcs3-mobo-c,1260,0.01893872208893299
20160604_FIRE_smer-tcs3-mobo-c,1320,0.056842681020498276
20160604_FIRE_smer-tcs3-mobo-c,1380,0.022780099883675575
20160604_FIRE_smer-tcs3-mobo-c,1440,0.02595997415482998
20160604_FIRE_smer-tcs3-mobo-c,1500,0.007569425273686647
20160604_FIRE_smer-tcs3-mobo-c,1560,0.004251295700669289
20160604_FIRE_smer-tcs3-mobo-c,1620,0.00250864215195179
20160604_FIRE_smer-tcs3-mobo-c,1680,0.0019943660590797663
20160604_FIRE_smer-tcs3-mobo-c,1740,0.005934764165431261
20160604_FIRE_smer-tcs3-mobo-c,1800,0.004218837711960077
20160604_FIRE_smer-tcs3-mobo-c,1860,0.0048972610384225845
20160604_FIRE_smer-tcs3-mobo-c,1920,0.0023867597337812185
20160604_FIRE_smer-tcs3-mobo-c,1980,0.017244523391127586
20160604_FIRE_smer-tcs3-mobo-c,2040,0.0032649284694343805
20160604_FIRE_smer-tcs3-mobo-c,2100,0.004843122325837612
20160604_FIRE_smer-tcs3-mobo-c,2160,0.006501836236566305
20160604_FIRE_smer-tcs3-mobo-c,2220,0.007333333604037762
20160604_FIRE_smer-tcs3-mobo-c,2280,0.0054857744835317135
20160604_FIRE_smer-tcs3-mobo-c,2340,0.004305969923734665
20160604_FIRE_smer-tcs3-mobo-c,2400,0.005701964255422354
20160619_FIRE_lp-e-iqeye,-2400,0.0030016405507922173
20160619_FIRE_lp-e-iqeye,-2280,0.004788683727383614
20160619_FIRE_lp-e-iqeye,-2160,0.007810007780790329
20160619_FIRE_lp-e-iqeye,-2040,0.003862782148644328
20160619_FIRE_lp-e-iqeye,-1920,0.002006540074944496
20160619_FIRE_lp-e-iqeye,-1800,0.0015910835936665535
20160619_FIRE_lp-e-iqeye,-1680,0.005772159900516272
20160619_FIRE_lp-e-iqeye,-1560,0.001665735268034041
20160619_FIRE_lp-e-iqeye,-1440,0.00162191828712821
20160619_FIRE_lp-e-iqeye,-1320,0.004302309826016426
20160619_FIRE_lp-e-iqeye,-1200,0.0013974113389849663
20160619_FIRE_lp-e-iqeye,-1080,0.004376918077468872
20160619_FIRE_lp-e-iqeye,-960,0.003486298955976963
20160619_FIRE_lp-e-iqeye,-840,0.0023001080844551325
