sequence,offset,max_conf
20160604_FIRE_rm-n-mobo-c,-2400,0.0
20160604_FIRE_rm-n-mobo-c,-2340,0.0
20160604_FIRE_rm-n-mobo-c,-2280,0.0
20160604_FIRE_rm-n-mobo-c,-2220,0.0
20160604_FIRE_rm-n-mobo-c,-2160,0.0
20160604_FIRE_rm-n-mobo-c,-2100,0.0
20160604_FIRE_rm-n-mobo-c,-2040,0.0
20160604_FIRE_rm-n-mobo-c,-1980,0.0
20160604_FIRE_rm-n-mobo-c,-1920,0.0
20160604_FIRE_rm-n-mobo-c,-1860,0.0
20160604_FIRE_rm-n-mobo-c,-1800,0.0
20160604_FIRE_rm-n-mobo-c,-1740,0.0
20160604_FIRE_rm-n-mobo-c,-1680,0.0
20160604_FIRE_rm-n-mobo-c,-1620,0.0
20160604_FIRE_rm-n-mobo-c,-1560,0.0
20160604_FIRE_rm-n-mobo-c,-1500,0.0
20160604_FIRE_rm-n-mobo-c,-1440,0.0
20160604_FIRE_rm-n-mobo-c,-1380,0.0
20160604_FIRE_rm-n-mobo-c,-1320,0.0
20160604_FIRE_rm-n-mobo-c,-1260,0.0
20160604_FIRE_rm-n-mobo-c,-1200,0.0
20160604_FIRE_rm-n-mobo-c,-1140,0.0
20160604_FIRE_rm-n-mobo-c,-1080,0.0
20160604_FIRE_rm-n-mobo-c,-1020,0.0
20160604_FIRE_rm-n-mobo-c,-960,0.0
20160604_FIRE_rm-n-mobo-c,-900,0.0
20160604_FIRE_rm-n-mobo-c,-840,0.0
20160604_FIRE_rm-n-mobo-c,-780,0.0
20160604_FIRE_rm-n-mobo-c,-720,0.0
20160604_FIRE_rm-n-mobo-c,-660,0.0
20160604_FIRE_rm-n-mobo-c,-600,0.0
20160604_FIRE_rm-n-mobo-c,-540,0.0
20160604_FIRE_rm-n-mobo-c,-480,0.0
20160604_FIRE_rm-n-mobo-c,-420,0.0
20160604_FIRE_rm-n-mobo-c,-360,0.0
20160604_FIRE_rm-n-mobo-c,-300,0.0
20160604_FIRE_rm-n-mobo-c,-240,0.0
20160604_FIRE_rm-n-mobo-c,-180,0.0
20160604_FIRE_rm-n-mobo-c,-120,0.0
20160604_FIRE_rm-n-mobo-c,-60,0.0
20160604_FIRE_rm-n-mobo-c,0,0.0
20160604_FIRE_rm-n-mobo-c,60,0.6349729895591736
20160604_FIRE_rm-n-mobo-c,120,0.6471009850502014
20160604_FIRE_rm-n-mobo-c,180,0.4325874149799347
20160604_FIRE_rm-n-mobo-c,240,0.027095379307866096
