epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,674.087,1.66764,2.92223,1.16145,0.55514,0.56748,0.54615,0.29806,1.52657,2.93193,1.15534,0.000666306,0.000666306,0.000666306
2,1330.42,1.59883,1.47545,1.1422,0.60891,0.58245,0.58673,0.32664,1.50348,2.63598,1.11723,0.00125966,0.00125966,0.00125966
3,1978.75,1.57728,1.40798,1.13337,0.52846,0.55682,0.52623,0.27359,1.54333,2.25577,1.14227,0.00177968,0.00177968,0.00177968
4,2618.37,1.51903,1.33643,1.10752,0.592,0.59041,0.58758,0.33144,1.46064,2.97854,1.0934,0.00167,0.00167,0.00167
5,3280.8,1.47761,1.27491,1.09214,0.61804,0.67529,0.65407,0.38895,1.35327,2.12471,1.07598,0.00156,0.00156,0.00156
6,3932.61,1.43198,1.21926,1.07102,0.62933,0.61763,0.63654,0.382,1.34348,2.29457,1.05937,0.00145,0.00145,0.00145
7,4569.72,1.39996,1.17735,1.0643,0.64044,0.68037,0.67286,0.41299,1.27702,2.80095,1.04201,0.00134,0.00134,0.00134
8,5208.7,1.37353,1.13585,1.04916,0.67076,0.66617,0.67943,0.41903,1.25974,2.17415,1.02924,0.00123,0.00123,0.00123
9,5816.95,1.36092,1.14504,1.06466,0.67798,0.70954,0.70864,0.43313,1.27659,2.14094,1.04771,0.00112,0.00112,0.00112
10,6423.21,1.33597,1.09918,1.05577,0.672,0.70827,0.70011,0.43058,1.25785,2.29878,1.03181,0.00101,0.00101,0.00101
11,7033.5,1.31083,1.07067,1.04577,0.65938,0.70396,0.67506,0.42136,1.25399,2.62285,1.03954,0.0009,0.0009,0.0009
12,7640.12,1.28562,1.03557,1.03668,0.67424,0.72273,0.71645,0.45065,1.22476,2.53198,1.0241,0.00079,0.00079,0.00079
13,8243.53,1.26012,1.00195,1.02683,0.69056,0.70028,0.70823,0.44751,1.21698,2.34512,1.02512,0.00068,0.00068,0.00068
14,8851.42,1.24185,0.98132,1.02159,0.69151,0.71131,0.71992,0.45724,1.21476,2.04684,1.02052,0.00057,0.00057,0.00057
15,9460.04,1.21536,0.94446,1.01152,0.70073,0.71814,0.72942,0.46568,1.21445,2.16809,1.02478,0.00046,0.00046,0.00046
16,10071,1.19055,0.92277,1.00023,0.70261,0.712,0.72809,0.46942,1.19654,2.0971,1.00966,0.00035,0.00035,0.00035
17,10679.4,1.1731,0.89016,0.9978,0.71403,0.724,0.74486,0.47998,1.18951,1.92557,1.0055,0.00024,0.00024,0.00024
18,11283.3,1.14268,0.86006,0.98653,0.71941,0.71677,0.74348,0.48386,1.17985,1.92709,1.00201,0.00013,0.00013,0.00013
