epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1222.66,1.75699,2.91442,1.14301,0.57638,0.58435,0.55659,0.29137,1.54364,2.92541,1.12661,0.00999486,0.00333162,0.00999486,0.00333162,0.00999486,0.00333162,0.00999486,0.00333162
2,2372.75,1.76745,1.53683,1.12977,0.54436,0.54921,0.51686,0.26565,1.59718,3.25176,1.15026,0.0192031,0.00640102,0.0192031,0.00640102,0.0192031,0.00640102,0.0192031,0.00640102
3,3500.43,1.8287,1.59832,1.16994,0.50145,0.47536,0.43913,0.21555,1.78514,2.71452,1.24686,0.0276193,0.00920642,0.0276193,0.00920642,0.0276193,0.00920642,0.0276193,0.00920642
4,4616.88,1.7709,1.52947,1.15957,0.58069,0.59919,0.56042,0.31794,1.44615,2.36163,1.13511,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
5,5729.44,1.66676,1.38585,1.11915,0.58748,0.62456,0.57821,0.33424,1.4149,2.23527,1.11232,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
6,6844.32,1.59897,1.3042,1.09542,0.6798,0.64845,0.68356,0.40826,1.33144,1.98984,1.08448,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
7,7961.14,1.55805,1.24552,1.07699,0.62623,0.6711,0.66304,0.3968,1.32052,2.33608,1.06667,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
8,9078.2,1.51421,1.20054,1.05801,0.68453,0.68696,0.69792,0.42468,1.29993,1.87255,1.06202,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
9,10195.6,1.48256,1.16201,1.04734,0.67543,0.69367,0.70173,0.44025,1.24189,2.31772,1.04215,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
10,11314.5,1.45357,1.12324,1.03622,0.69674,0.67555,0.71344,0.44432,1.23825,1.98583,1.03857,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
11,12435.8,1.44061,1.10317,1.03366,0.68581,0.68606,0.71209,0.44949,1.21752,2.07641,1.03118,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
12,13557.7,1.41567,1.08349,1.02016,0.68818,0.71438,0.72736,0.46202,1.214,2.01718,1.03244,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
13,14678.7,1.39506,1.04583,1.01186,0.69378,0.71588,0.73438,0.47419,1.19026,2.06588,1.02181,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
14,15801.9,1.37482,1.02903,1.00491,0.69332,0.71802,0.72249,0.47219,1.18976,2.25712,1.02196,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
15,16928.2,1.35203,1.00463,1.00018,0.67798,0.74023,0.72279,0.47315,1.18207,2.13751,1.02034,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
16,18048.9,1.31021,1.00522,1.03729,0.69044,0.72422,0.73233,0.47732,1.1876,2.34807,1.01063,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
17,19167.9,1.28367,0.98027,1.02445,0.68848,0.72628,0.72998,0.48054,1.18082,2.30282,1.01373,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
18,20289.2,1.27494,0.95698,1.0149,0.70832,0.71157,0.73478,0.48232,1.17517,1.92813,1.01426,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
19,21418.7,1.25034,0.92052,1.0123,0.71249,0.71037,0.73483,0.48534,1.18037,1.97609,1.0195,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
20,22548.2,1.22788,0.90761,1.00646,0.70247,0.72411,0.73777,0.49134,1.16708,2.23948,1.01149,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
21,23677.3,1.20776,0.86932,0.99095,0.71887,0.71615,0.74248,0.49045,1.16598,2.19011,1.00297,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
22,24807.1,1.19006,0.85362,0.99291,0.70134,0.71603,0.73404,0.4867,1.166,2.09232,1.00742,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
23,25940.1,1.1689,0.8279,0.98595,0.70772,0.71929,0.73599,0.4862,1.17066,2.08547,1.01374,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
24,27072.9,1.15023,0.80012,0.97758,0.71071,0.71969,0.73718,0.48691,1.17166,2.06822,1.01539,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
25,28206.3,1.12204,0.78008,0.96443,0.71516,0.71512,0.73821,0.48699,1.1745,2.00545,1.01701,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
