epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1217.32,1.75464,2.77255,1.1442,0.52672,0.54546,0.51677,0.26445,1.60528,2.14434,1.12749,0.00999472,0.00333157,0.00999472,0.00333157,0.00999472,0.00333157,0.00999472,0.00333157
2,2365.62,1.76844,1.53902,1.12823,0.54723,0.46854,0.4493,0.23291,1.7152,3.00103,1.18706,0.0192029,0.00640098,0.0192029,0.00640098,0.0192029,0.00640098,0.0192029,0.00640098
3,3492.45,1.8333,1.59788,1.16739,0.53906,0.55023,0.50436,0.26842,1.59467,2.96605,1.17937,0.0276191,0.00920638,0.0276191,0.00920638,0.0276191,0.00920638,0.0276191,0.00920638
4,4609.74,1.77067,1.51574,1.15093,0.58404,0.62963,0.58211,0.3217,1.46641,3.55892,1.13627,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
5,5724.59,1.66838,1.38077,1.11844,0.65033,0.62891,0.63284,0.37521,1.39874,2.39351,1.12209,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
6,6838.42,1.59252,1.29427,1.08944,0.63584,0.68569,0.66591,0.39377,1.34947,2.64919,1.08397,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
7,7954.86,1.55179,1.24315,1.06849,0.64542,0.68339,0.67454,0.41245,1.29566,2.42626,1.05804,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
8,9071.08,1.50443,1.19063,1.05334,0.64464,0.69026,0.6709,0.41651,1.29024,2.67153,1.06356,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
9,10187,1.47725,1.15127,1.04197,0.67305,0.70649,0.70184,0.4383,1.25626,2.58794,1.05141,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
10,11303.4,1.44456,1.11129,1.02901,0.67697,0.71187,0.71721,0.4582,1.21829,2.50219,1.0279,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
11,12421.6,1.43499,1.09502,1.02514,0.67793,0.7136,0.70519,0.45397,1.19114,2.5348,1.01588,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
12,13539.9,1.40836,1.06515,1.01688,0.68682,0.72806,0.73306,0.47272,1.19838,2,1.02206,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
13,14658.1,1.39005,1.04805,1.00492,0.67851,0.73349,0.72412,0.46946,1.1854,2.26174,1.01605,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
14,15777.6,1.36951,1.02199,1.00432,0.67284,0.73389,0.71757,0.46587,1.18809,2.51065,1.01457,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
15,16897.6,1.35556,0.99895,0.9978,0.70131,0.73618,0.73238,0.47886,1.1856,2.06819,1.01349,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
16,18016.6,1.30779,1.00259,1.03519,0.6995,0.72831,0.72957,0.47594,1.17273,2.1695,1.00679,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
17,19134.5,1.28758,0.97042,1.02855,0.67956,0.74581,0.7191,0.47268,1.17095,2.40686,1.01006,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
18,20252.8,1.26265,0.94868,1.01927,0.71123,0.73476,0.74204,0.48415,1.179,2.06839,1.01902,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
19,21371.3,1.24602,0.9289,1.01304,0.71246,0.73009,0.74098,0.48727,1.15311,1.99454,1.00399,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
20,22490,1.22393,0.90476,1.00691,0.70993,0.73973,0.74338,0.49193,1.14289,1.93363,1.00129,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
21,23608.3,1.20337,0.87588,0.99583,0.71055,0.74168,0.74856,0.49752,1.13836,2.01623,0.99872,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
22,24726.4,1.1813,0.85129,0.98786,0.7103,0.74201,0.75261,0.50265,1.13012,2.10557,0.99302,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
23,25845.4,1.16369,0.82552,0.98147,0.72288,0.73451,0.75534,0.50313,1.1336,2.01069,0.99506,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
24,26964,1.14186,0.7948,0.96902,0.72524,0.74556,0.75822,0.50416,1.13874,1.9375,0.99864,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
25,28083.5,1.11692,0.77027,0.96547,0.71969,0.74581,0.75563,0.50246,1.14183,1.86495,0.9976,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
